行号,单词,音标,中文含义
37,hello,  //  ,你好
35,task,  //  ,任务2， 工作2
13,intermediate*,  /ˏɪntəˈmiːdɪət/  ,a. 中间的，中级的
8,impart,  /ɪmˈpɑːt/  ,vt. 给予，赋予；传授；告知，透露
33,study,  //  ,学习
2,shuffle,  //  ,打乱
22,enable*,  /ɪˈneɪbl/  ,vt. 使能够，使成为可能
26,select,  //  ,选择，挑选
23,frame,  //  ,框架
1,apple,  //  ,苹果
25,git,  //  ,极客
15,invasion*,  /ɪnˈveɪʒn/  ,n. 入侵，侵略
11,van,  /væn/  ,n. 运货车
4,companion,  /kəmˈpænɪən/  ,n. 共事者；同伴
0,logical,  //  ,逻辑
38,reverse,  //  ,取反
9,forfeit*,  /ˈfɔːfɪt/  ,v. （因犯规等而）丧失，失去  n. 罚款；代价
36,from,  //  ,从哪里来
27,merge,  //  ,合并；巩固
14,eternal,  /ɪˈtɜːnl/  ,a. 永恒的
21,optional*,  [ˈɒpʃənl]  ,a. 可选择的，非强制的，随意的
16,reademe,  //  ,读我
19,inspiring*,  [ɪn'spaɪərɪŋ]  ,a. 鼓舞（或激励）人心的；启发灵感的
28,my,  //  ,我的
10,calorie,  /ˈkælərɪ/  ,n. 卡（路里）， 大卡（食物的热量）
12,ventilation,  [ˌventɪ'leɪʃn]  ,n. 空气流通；通风设备，通风方法
39,notion,  //  ,一个在线笔记
6,input*,  /ˈɪnput/  ,n. 投入，输入；输入的数据  vt. 把……输入计算机
30,test,  //  ,测试2
17,nevertheless,  /ˏnevəðəˈles/  ,ad. 仍然；然而  conj. 然而，不过
5,rig,  /rɪg/  ,vt. 操纵，垄断  n. 船桅（或船帆等）的装置；成套器械
29,new,  //  ,新的
24,word,  //  ,单词
18,celebrate*,  /ˈselɪbreɪt/  ,v. 赞扬，歌颂；庆祝
32,content,  //  ,内容2
7,merely*,  [ˈmiəli]  ,ad. 仅仅，只不过
20,attendance*,  /əˈtendəns/  ,n. 到场，出席；出勤；伺候，照料
